run_name,Loss/train,Train/Avg_Loss,Val/AnyValid,Val/AnyValid_abinit,Val/Avg_Loss,Val/C2,Val/C2_abinit,Val/C3,Val/C3_abinit,lr,full_name,step,step/epoch
GPT2_small_joint_lm_sep_emb_uncond_heldout0_stream0_16M,1.3073714971542358,1.5651161670684814,0.8918333053588867,0.6271666884422302,3.388066530227661,0.4399999976158142,0.1274999976158142,0.5600000023841858,0.42100000381469727,0.0,GPT2_small_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream0_16M-20241120-200321/tensorboard_logs,1000000,999999
GPT2_medium_uncond_heldout0_stream16M,3.238008499145508,3.2059836387634277,0.9573333263397217,0.3243333399295807,3.3078484535217285,0.20999999344348907,0.1469999998807907,0.7900000214576721,0.03500000014901161,0.0,GPT2_medium_RAVEN_uncond_heldout0_stream16M-20240820-024718/tensorboard_logs,1000000,999999
GPT2_small_joint_lm_sep_emb_uncond_heldout0_stream16M,2.150116205215454,2.1443569660186768,0.9545000195503235,0.9871666431427002,2.143040180206299,0.24050000309944153,0.03999999910593033,0.7595000267028809,0.9614999890327454,0.0,GPT2_small_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream16M-20241121-140316/tensorboard_logs,1000000,999999
GPT2_medium_uncond_heldout0_stream1_6M,3.191896915435791,,0.940666675567627,0.3774999976158142,3.319387912750244,0.25600001215934753,0.15299999713897705,0.7440000176429749,0.054999999701976776,7.375737914117053e-05,GPT2_medium_RAVEN_uncond_heldout0_stream1_6M-20240819-010648/tensorboard_logs,262499,259999
GPT2_medium_uncond_heldout0_stream16M,3.196152925491333,3.2445099353790283,0.9623333215713501,0.375,3.2880637645721436,0.210999995470047,0.13850000500679016,0.7889999747276306,0.04050000011920929,0.0,GPT2_medium_RAVEN_uncond_heldout0_stream16M-20240704-041344/tensorboard_logs,250000,249999
GPT2_small_joint_lm_sep_emb_uncond_heldout0_stream0_016M,0.11947290599346161,0.1732637733221054,0.8471666574478149,0.9953333139419556,11.447135925292969,0.8809999823570251,0.0020000000949949026,0.11900000274181366,0.9909999966621399,0.0,GPT2_small_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream0_016M-20241121-140338/tensorboard_logs,1000000,999999
GPT2_medium_uncond_heldout0_stream0_16M,0.5073325037956238,,0.9049999713897705,0.5040000081062317,12.355254173278809,0.3815000057220459,0.1850000023841858,0.6184999942779541,0.18000000715255737,7.42574266041629e-05,GPT2_medium_RAVEN_uncond_heldout0_stream0_16M-20240819-011524/tensorboard_logs,257499,254999
GPT2_medium_cond_all,0.4750364124774933,0.482605516910553,0.9605000019073486,0.6848333477973938,13.489778518676758,0.1379999965429306,0.3264999985694885,0.8619999885559082,0.3330000042915344,0.0,GPT2_medium_RAVEN_cond_all-20240702-032839/tensorboard_logs,246899,99
GPT2_small_uncond_heldout0_stream16M,3.244263172149658,3.2236239910125732,0.9508333206176758,0.35899999737739563,3.3176558017730713,0.22699999809265137,0.1770000010728836,0.7730000019073486,0.03799999877810478,0.0,GPT2_small_RAVEN_uncond_heldout0_stream16M-20240820-024127/tensorboard_logs,1000000,999999
GPT2_base_uncond_heldout0,1.2389131784439087,1.4392551183700562,0.9110000133514404,0.4860025942325592,9.440473556518555,0.3700000047683716,0.14599609375,0.6299999952316284,0.17822265625,0.0,GPT2_base_RAVEN_uncond_heldout0-20240630-023945/tensorboard_logs,216099,99
GPT2_small_joint_lm_joint_emb_uncond_heldout0_stream0_16M,1.4725459814071655,1.5971029996871948,0.8706666827201843,0.5948333144187927,3.4037983417510986,0.5490000247955322,0.14249999821186066,0.45100000500679016,0.3089999854564667,0.0,GPT2_small_joint_lm_joint_emb_RAVEN_uncond_heldout0_stream0_16M-20241120-200253/tensorboard_logs,1000000,999999
GPT2_base_uncond_heldout0_stream1_6M,4.27081298828125,,,,,,,,,9.998319728765637e-05,GPT2_base_RAVEN_uncond_heldout0_stream1_6M-20240818-013524/tensorboard_logs,267,267
GPT2_medium_joint_lm_joint_emb_uncond_heldout0_stream0_16M,0.15319490432739258,0.34066107869148254,0.8679999709129333,0.9823333621025085,9.947699546813965,0.5504999756813049,0.007499999832361937,0.4494999945163727,0.9674999713897705,0.0,GPT2_medium_joint_lm_joint_emb_RAVEN_uncond_heldout0_stream0_16M-20241120-202725/tensorboard_logs,1000000,999999
GPT2_medium_uncond_all_stream16M,3.2086544036865234,3.200251340866089,0.9769999980926514,0.37933334708213806,3.1392107009887695,0.08950000256299973,0.16249999403953552,0.9104999899864197,0.03849999979138374,0.0,GPT2_medium_RAVEN_uncond_all_stream16M-20240704-025623/tensorboard_logs,250000,249999
GPT2_medium_joint_lm_sep_emb_uncond_heldout0_stream0_016M,0.11842924356460571,,0.8511666655540466,0.9991666674613953,10.735152244567871,0.8964999914169312,0.001500000013038516,0.10350000113248825,0.996999979019165,1.125112521549454e-05,GPT2_medium_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream0_016M-20241122-165627/tensorboard_logs,887499,884999
GPT2_medium_uncond_heldout0_stream16M,3.156554937362671,,0.9576666951179504,0.3711666762828827,3.259232997894287,0.21150000393390656,0.17350000143051147,0.7885000109672546,0.04800000041723251,7.400740287266672e-05,GPT2_medium_RAVEN_uncond_heldout0_stream16M-20240819-010648/tensorboard_logs,259999,257499
GPT2_base_uncond_heldout0_stream0_16M,0.44879958033561707,1.0508310794830322,0.9043333530426025,0.5168333053588867,15.820762634277344,0.39399999380111694,0.16599999368190765,0.6060000061988831,0.22300000488758087,0.0,GPT2_base_RAVEN_uncond_heldout0_stream0_16M-20240820-024013/tensorboard_logs,1000000,999999
GPT2_small_uncond_heldout0_stream0_016M,0.17895381152629852,0.30587509274482727,0.8411666750907898,0.7110000252723694,26.36936378479004,0.8934999704360962,0.12449999898672104,0.10649999976158142,0.37450000643730164,0.0,GPT2_small_RAVEN_uncond_heldout0_stream0_016M-20240820-024539/tensorboard_logs,1000000,999999
GPT2_medium_uncond_heldout0_stream0_16M,0.23579733073711395,0.6250341534614563,0.906166672706604,0.6163333058357239,21.65506362915039,0.375,0.18299999833106995,0.625,0.3395000100135803,0.0,GPT2_medium_RAVEN_uncond_heldout0_stream0_16M-20240820-024019/tensorboard_logs,1000000,999999
GPT2_base_uncond_heldout0_stream16M,3.293100118637085,,0.9496666789054871,0.2776666581630707,3.2869508266448975,0.2280000001192093,0.10750000178813934,0.7720000147819519,0.02449999935925007,4.9045003834180534e-05,GPT2_base_RAVEN_uncond_heldout0_stream16M-20240819-010517/tensorboard_logs,509598,507499
GPT2_medium_joint_lm_cmb_emb_uncond_heldout0_stream0_16M,0.15126587450504303,0.34797757863998413,0.8870000243186951,0.9818333387374878,10.101373672485352,0.4869999885559082,0.0035000001080334187,0.5130000114440918,0.968999981880188,0.0,GPT2_medium_joint_lm_cmb_emb_RAVEN_uncond_heldout0_stream0_16M-20241120-202833/tensorboard_logs,1000000,999999
GPT2_base_uncond_heldout0_stream1_6M,2.897711992263794,3.115485668182373,0.9536666870117188,0.44200000166893005,3.7540395259857178,0.2224999964237213,0.23000000417232513,0.7774999737739563,0.10700000077486038,0.0,GPT2_base_RAVEN_uncond_heldout0_stream1_6M-20240820-023925/tensorboard_logs,1000000,999999
GPT2_small_uncond_heldout0_stream1_6M,2.9882802963256836,3.123016834259033,0.9369999766349792,0.437666654586792,3.576402425765991,0.2709999978542328,0.2240000069141388,0.7289999723434448,0.08749999850988388,0.0,GPT2_small_RAVEN_uncond_heldout0_stream1_6M-20240818-013943/tensorboard_logs,1000000,999999
GPT2_base_uncond_heldout0_stream1_6M,2.7548325061798096,,0.965666651725769,0.44566667079925537,4.189826965332031,0.19850000739097595,0.21299999952316284,0.8015000224113464,0.10249999910593033,5.725572555093095e-05,GPT2_base_RAVEN_uncond_heldout0_stream1_6M-20240818-014017/tensorboard_logs,427499,424999
GPT2_small_uncond_heldout0_stream1_6M,3.157611846923828,3.2077813148498535,0.9375,0.4176666736602783,3.377685546875,0.28200000524520874,0.21199999749660492,0.7179999947547913,0.061500001698732376,0.0,GPT2_small_RAVEN_uncond_heldout0_stream1_6M-20240820-024123/tensorboard_logs,1000000,999999
GPT2_medium_uncond_heldout0_stream0_016M,0.1781843602657318,,0.8324999809265137,0.6706666946411133,18.59669303894043,0.8889999985694885,0.13449999690055847,0.11100000143051147,0.3529999852180481,7.400740287266672e-05,GPT2_medium_RAVEN_uncond_heldout0_stream0_016M-20240819-010618/tensorboard_logs,259999,257499
GPT2_medium_joint_lm_sep_emb_uncond_heldout0_stream0_16M,0.15207265317440033,0.3362279236316681,0.8956666588783264,0.9806666374206543,10.073494911193848,0.4375,0.005499999970197678,0.5625,0.968500018119812,0.0,GPT2_medium_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream0_16M-20241120-202729/tensorboard_logs,1000000,999999
GPT2_base_uncond_heldout0_stream16M,3.1419265270233154,3.2110743522644043,0.9649999737739563,0.2998333275318146,3.339063882827759,0.20649999380111694,0.13899999856948853,0.7935000061988831,0.024000000208616257,0.0,GPT2_base_RAVEN_uncond_heldout0_stream16M-20240820-024031/tensorboard_logs,1000000,999999
GPT2_medium_uncond_heldout0_stream0_016M,0.1768423467874527,0.2127833366394043,0.8226666450500488,0.7231666445732117,24.934677124023438,0.9049999713897705,0.1875,0.0949999988079071,0.41999998688697815,0.0,GPT2_medium_RAVEN_uncond_heldout0_stream0_016M-20240820-024735/tensorboard_logs,1000000,999999
GPT2_base_joint_lm_sep_emb_uncond_heldout0_stream0_16M,0.2295725792646408,0.5342166423797607,0.8848333358764648,0.8996666669845581,7.890069484710693,0.47200000286102295,0.05700000002980232,0.527999997138977,0.8289999961853027,0.0,GPT2_base_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream0_16M-20241120-200339/tensorboard_logs,1000000,999999
GPT2_base_uncond_heldout0_stream1_6M,3.644078254699707,,,,,,,,,9.983368363464251e-05,GPT2_base_RAVEN_uncond_heldout0_stream1_6M-20240818-012450/tensorboard_logs,1762,1762
GPT2_medium_cond_heldout0,0.42538338899612427,0.42775896191596985,0.9293333292007446,0.6345000267028809,14.729448318481445,0.2615000009536743,0.2879999876022339,0.7384999990463257,0.29899999499320984,0.0,GPT2_medium_RAVEN_cond_heldout0-20240701-231350/tensorboard_logs,216099,99
GPT2_small_joint_lm_cmb_emb_uncond_heldout0_stream0_16M,1.3173881769180298,1.594198226928711,0.8858333230018616,0.6133333444595337,3.36804461479187,0.45100000500679016,0.12849999964237213,0.5490000247955322,0.39250001311302185,0.0,GPT2_small_joint_lm_cmb_emb_RAVEN_uncond_heldout0_stream0_16M-20241120-200229/tensorboard_logs,1000000,999999
GPT2_medium_joint_lm_sep_emb_uncond_heldout0_stream16M,2.2267637252807617,2.131638765335083,0.9854999780654907,0.9921666383743286,2.139920473098755,0.12399999797344208,0.013500000350177288,0.8759999871253967,0.9819999933242798,0.0,GPT2_medium_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream16M-20241122-165705/tensorboard_logs,1000000,999999
GPT2_base_uncond_heldout0_stream0_016M,0.1751031130552292,0.2242802530527115,0.8391666412353516,0.746999979019165,27.11956214904785,0.8870000243186951,0.17599999904632568,0.11299999803304672,0.4544999897480011,0.0,GPT2_base_RAVEN_uncond_heldout0_stream0_016M-20240820-023934/tensorboard_logs,1000000,999999
GPT2_base_uncond_heldout0_stream0_016M,0.17573344707489014,,0.8356666564941406,0.6930000185966492,21.915851593017578,0.8679999709129333,0.14650000631809235,0.13199999928474426,0.36500000953674316,4.875487502431497e-05,GPT2_base_RAVEN_uncond_heldout0_stream0_016M-20240819-010518/tensorboard_logs,512499,509999
GPT2_base_cond_heldout0,1.2396785020828247,1.258029818534851,0.9353333115577698,0.5953333377838135,9.661391258239746,0.2304999977350235,0.27250000834465027,0.7695000171661377,0.2515000104904175,0.0,GPT2_base_RAVEN_cond_heldout0-20240701-225339/tensorboard_logs,216099,99
GPT2_small_joint_uncond_heldout0_stream0_16M,1.4642740488052368,,0.8681666851043701,0.5933333039283752,3.0557892322540283,0.5270000100135803,0.11699999868869781,0.4729999899864197,0.3465000092983246,5.6524251704104245e-05,GPT2_small_joint_RAVEN_uncond_heldout0_stream0_16M-20241120-194711/tensorboard_logs,434813,432499
GPT2_base_joint_lm_joint_emb_uncond_heldout0_stream0_16M,0.24769863486289978,0.549686074256897,0.8636666536331177,0.893666684627533,7.874475955963135,0.5830000042915344,0.07999999821186066,0.4169999957084656,0.7940000295639038,0.0,GPT2_base_joint_lm_joint_emb_RAVEN_uncond_heldout0_stream0_16M-20241120-200329/tensorboard_logs,1000000,999999
GPT2_base_joint_lm_sep_emb_uncond_heldout0_stream1_6M,1.8766446113586426,2.0807394981384277,0.9890000224113464,0.9833333492279053,2.320718765258789,0.125,0.061000000685453415,0.875,0.9394999742507935,0.0,GPT2_base_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream1_6M-20241121-002546/tensorboard_logs,1000000,999999
GPT2_medium_cond_all_stream16M,2.8419551849365234,3.1157567501068115,0.9763333201408386,0.3880000114440918,3.0716021060943604,0.08449999988079071,0.210999995470047,0.9154999852180481,0.06300000101327896,0.0,GPT2_medium_RAVEN_cond_all_stream16M-20240704-030228/tensorboard_logs,250000,249999
GPT2_medium_joint_lm_sep_emb_uncond_heldout0_stream1_6M,1.6587547063827515,1.970312237739563,0.984499990940094,0.9896666407585144,2.5991051197052,0.125,0.02449999935925007,0.875,0.9704999923706055,0.0,GPT2_medium_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream1_6M-20241122-165756/tensorboard_logs,1000000,999999
GPT2_base_joint_lm_cmb_emb_uncond_heldout0_stream0_16M,0.23541311919689178,0.5602645874023438,0.887499988079071,0.8924999833106995,7.809951305389404,0.4779999852180481,0.06700000166893005,0.5220000147819519,0.8040000200271606,0.0,GPT2_base_joint_lm_cmb_emb_RAVEN_uncond_heldout0_stream0_16M-20241120-200425/tensorboard_logs,1000000,999999
GPT2_base_joint_lm_sep_emb_uncond_heldout0_stream16M,2.2669036388397217,2.1369316577911377,0.9735000133514404,0.9894999861717224,2.152902364730835,0.1745000034570694,0.02800000086426735,0.8255000114440918,0.968500018119812,0.0,GPT2_base_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream16M-20241121-002522/tensorboard_logs,1000000,999999
GPT2_base_uncond_heldout0_stream0_16M,0.8138569593429565,,0.8964999914169312,0.47049999237060547,11.020782470703125,0.4235000014305115,0.13750000298023224,0.5764999985694885,0.16449999809265137,5.700570181943476e-05,GPT2_base_RAVEN_uncond_heldout0_stream0_16M-20240819-032725/tensorboard_logs,429999,427499
GPT2_medium_uncond_heldout0_stream1_6M,2.640718936920166,2.964223623275757,0.9681666493415833,0.45783331990242004,4.665191173553467,0.17149999737739563,0.2720000147819519,0.828499972820282,0.1080000028014183,0.0,GPT2_medium_RAVEN_uncond_heldout0_stream1_6M-20240820-023917/tensorboard_logs,1000000,999999
GPT2_base_joint_lm_sep_emb_uncond_heldout0_stream0_016M,0.11811169236898422,0.14160704612731934,0.8410000205039978,0.999666690826416,11.342348098754883,0.8855000138282776,0.0005000000237487257,0.1145000010728836,0.9990000128746033,0.0,GPT2_base_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream0_016M-20241121-002559/tensorboard_logs,1000000,999999
GPT2_medium_uncond_all,0.6382582187652588,0.6311153173446655,0.9313333630561829,0.5029296875,13.334392547607422,0.2565000057220459,0.17431640625,0.7434999942779541,0.19677734375,0.0,GPT2_medium_RAVEN_uncond_all-20240702-032428/tensorboard_logs,246899,99
GPT2CmbEmb_base_uncond_heldout0,1.481049656867981,1.5516153573989868,0.909166693687439,0.4357096254825592,9.333218574523926,0.38100001215934753,0.1298828125,0.6190000176429749,0.1318359375,0.0,GPT2CmbEmb_base_RAVEN_uncond_heldout0-20240701-154321/tensorboard_logs,216099,99
GPT2_medium_uncond_heldout0,0.5245529413223267,0.5233154296875,0.9125000238418579,0.5042317509651184,14.620523452758789,0.3709999918937683,0.17724609375,0.6290000081062317,0.1904296875,0.0,GPT2_medium_RAVEN_uncond_heldout0-20240701-133418/tensorboard_logs,216099,99
GPT2_base_uncond_heldout0_stream1_6M,3.124039649963379,,0.9398333430290222,0.4104999899864197,3.4196202754974365,0.27900001406669617,0.20900000631809235,0.7210000157356262,0.06949999928474426,4.923652522847988e-05,GPT2_base_RAVEN_uncond_heldout0_stream1_6M-20240819-010517/tensorboard_logs,507684,507499
GPT2_small_joint_lm_sep_emb_uncond_heldout0_stream1_6M,2.237673282623291,2.1340854167938232,0.9573333263397217,0.9851666688919067,2.1784865856170654,0.19900000095367432,0.0494999997317791,0.8009999990463257,0.9495000243186951,0.0,GPT2_small_joint_lm_sep_emb_RAVEN_uncond_heldout0_stream1_6M-20241121-140306/tensorboard_logs,1000000,999999
GPT2_small_uncond_heldout0_stream0_16M,1.903040885925293,2.312938690185547,0.9113333225250244,0.4449999928474426,7.219539642333984,0.3619999885559082,0.1445000022649765,0.6380000114440918,0.13650000095367432,0.0,GPT2_small_RAVEN_uncond_heldout0_stream0_16M-20240820-024128/tensorboard_logs,1000000,999999
